tabla,row_num,datos_json
bot_settings,1,"{""id"": 1, ""iterations"": 5, ""pause_minutes"": 20, ""enable_adb"": 0, ""enable_proxy"": 1, ""emails_per_batch"": 5, ""bot_name"": ""computadora Personal"", ""bot_type"": ""creador""}"
browsers,1,"{""id"": 1, ""name"": ""BraveNuevo"", ""isActive"": 0}"
browsers,2,"{""id"": 2, ""name"": ""BraveNormal"", ""isActive"": 0}"
browsers,3,"{""id"": 3, ""name"": ""Firefox"", ""isActive"": 0}"
browsers,4,"{""id"": 4, ""name"": ""Chrome"", ""isActive"": 0}"
browsers,5,"{""id"": 5, ""name"": ""Edge"", ""isActive"": 0}"
browsers,6,"{""id"": 6, ""name"": ""Opera"", ""isActive"": 0}"
browsers,7,"{""id"": 7, ""name"": ""CCcleaner"", ""isActive"": 0}"
browsers,8,"{""id"": 8, ""name"": ""Vivaldi"", ""isActive"": 0}"
browsers,9,"{""id"": 9, ""name"": ""Coccoc"", ""isActive"": 1}"
browsers,10,"{""id"": 10, ""name"": ""Edge nuevo"", ""isActive"": 0}"
creator_coordinates,1,"{""id"": 15, ""browser_id"": 1, ""brave_click"": ""1313x239"", ""linkedin_fav_click"": ""886x93"", ""email_input_click"": ""995x298"", ""continue_button_click"": ""1015x507"", ""name_input_click"": ""1001x301"", ""continue_button2_click"": ""1013x480"", ""close_captcha_click"": ""1303x304"", ""close_number_click"": ""1307x285"", ""cookie_editor_icon_click"": ""1196x60"", ""save_cookie_clipboard_click"": ""1144x536"", ""close_window"": ""1333x20"", ""continue_button_click_optional"": ""1006x506"", ""white_captcha_click"": ""1309x273"", ""close_captcha_error_click"": ""1323x368"", ""close_proxy_error_click"": ""1129x248""}"
creator_coordinates,2,"{""id"": 31, ""browser_id"": 2, ""brave_click"": ""1309x236"", ""linkedin_fav_click"": ""748x92"", ""email_input_click"": ""995x290"", ""continue_button_click"": ""1005x507"", ""name_input_click"": ""985x293"", ""continue_button2_click"": ""1010x431"", ""close_captcha_click"": ""1310x260"", ""close_number_click"": ""1316x251"", ""cookie_editor_icon_click"": ""1192x57"", ""save_cookie_clipboard_click"": ""1143x541"", ""close_window"": ""1337x19"", ""continue_button_click_optional"": ""1011x504"", ""white_captcha_click"": ""1302x262"", ""close_captcha_error_click"": ""1304x331"", ""close_proxy_error_click"": ""1304x258""}"
creator_coordinates,3,"{""id"": 78, ""browser_id"": 5, ""brave_click"": ""1313x343"", ""linkedin_fav_click"": ""755x94"", ""email_input_click"": ""995x288"", ""continue_button_click"": ""1011x504"", ""name_input_click"": ""999x293"", ""continue_button2_click"": ""1017x431"", ""close_captcha_click"": ""1317x201"", ""close_number_click"": ""1312x304"", ""cookie_editor_icon_click"": ""1142x61"", ""save_cookie_clipboard_click"": ""1093x538"", ""close_window"": ""1339x17"", ""continue_button_click_optional"": ""1018x505"", ""white_captcha_click"": ""1320x287"", ""close_captcha_error_click"": ""1308x301"", ""close_proxy_error_click"": ""1303x297""}"
creator_coordinates,4,"{""id"": 93, ""browser_id"": 6, ""brave_click"": ""1317x440"", ""linkedin_fav_click"": ""762x88"", ""email_input_click"": ""1007x282"", ""continue_button_click"": ""1024x503"", ""name_input_click"": ""1028x293"", ""continue_button2_click"": ""1028x425"", ""close_captcha_click"": ""1322x286"", ""close_number_click"": ""1310x309"", ""cookie_editor_icon_click"": ""1284x59"", ""save_cookie_clipboard_click"": ""1247x564"", ""close_window"": ""1347x23"", ""continue_button_click_optional"": ""1022x502"", ""white_captcha_click"": ""1317x309"", ""close_captcha_error_click"": ""1315x312"", ""close_proxy_error_click"": ""1302x230""}"
creator_coordinates,5,"{""id"": 109, ""browser_id"": 7, ""brave_click"": ""1313x537"", ""linkedin_fav_click"": ""704x100"", ""email_input_click"": ""979x298"", ""continue_button_click"": ""995x517"", ""name_input_click"": ""998x304"", ""continue_button2_click"": ""986x443"", ""close_captcha_click"": ""1305x267"", ""close_number_click"": ""1305x369"", ""cookie_editor_icon_click"": ""1051x62"", ""save_cookie_clipboard_click"": ""1004x543"", ""close_window"": ""1340x14"", ""continue_button_click_optional"": ""991x514"", ""white_captcha_click"": ""1313x263"", ""close_captcha_error_click"": ""1319x346"", ""close_proxy_error_click"": ""1299x300""}"
creator_coordinates,6,"{""id"": 124, ""browser_id"": 8, ""brave_click"": ""1310x625"", ""linkedin_fav_click"": ""742x95"", ""email_input_click"": ""1010x293"", ""continue_button_click"": ""1010x509"", ""name_input_click"": ""1006x292"", ""continue_button2_click"": ""1016x431"", ""close_captcha_click"": ""1319x243"", ""close_number_click"": ""1319x236"", ""cookie_editor_icon_click"": ""1225x60"", ""save_cookie_clipboard_click"": ""1282x545"", ""close_window"": ""1335x22"", ""continue_button_click_optional"": ""1012x507"", ""white_captcha_click"": ""1318x264"", ""close_captcha_error_click"": ""1301x267"", ""close_proxy_error_click"": ""1305x355""}"
