id,browser_id,brave_click,linkedin_fav_click,email_input_click,continue_button_click,name_input_click,continue_button2_click,close_captcha_click,close_number_click,cookie_editor_icon_click,save_cookie_clipboard_click,close_window,continue_button_click_optional,white_captcha_click,close_captcha_error_click,close_proxy_error_click
15,1,1313x239,886x93,995x298,1015x507,1001x301,1013x480,1303x304,1307x285,1196x60,1144x536,1333x20,1006x506,1309x273,1323x368,1129x248
31,2,1309x236,748x92,995x290,1005x507,985x293,1010x431,1310x260,1316x251,1192x57,1143x541,1337x19,1011x504,1302x262,1304x331,1304x258
78,5,1313x343,755x94,995x288,1011x504,999x293,1017x431,1317x201,1312x304,1142x61,1093x538,1339x17,1018x505,1320x287,1308x301,1303x297
93,6,1317x440,762x88,1007x282,1024x503,1028x293,1028x425,1322x286,1310x309,1284x59,1247x564,1347x23,1022x502,1317x309,1315x312,1302x230
109,7,1313x537,704x100,979x298,995x517,998x304,986x443,1305x267,1305x369,1051x62,1004x543,1340x14,991x514,1313x263,1319x346,1299x300
124,8,1310x625,742x95,1010x293,1010x509,1006x292,1016x431,1319x243,1319x236,1225x60,1282x545,1335x22,1012x507,1318x264,1301x267,1305x355
127,3,1313x138,755x101,991x261,1012x509,982x290,1012x430,1292x249,1320x228,1305x63,1256x538,1337x22,1015x505,1331x216,1324x324,1323x329
128,4,1237x34,763x97,989x296,1018x513,1003x297,1025x437,1311x360,1330x437,1149x63,1102x502,1342x19,1020x517,1326x342,1328x238,1333x215
177,10,1833x589,1063x148,1398x450,1429x780,1371x457,1417x700,1851x703,1826x706,1624x96,1555x766,1872x35,1423x771,1845x745,1842x566,1300x388
182,9,1687x234,967x163,1360x455,1751x375,966x291,987x417,1304x295,1327x325,1058x63,1006x544,1340x25,977x509,1297x254,1316x326,1294x276
